brand_name,year,month,units,gms
PULSAR,2024,8,95,10036876.60000000000000
PULSAR,2025,2,108,11549930.35000000000000
OLA,2024,9,74,9011926.00000000000000
PULSAR,2024,10,1553,172350886.90000000000000
PULSAR,2025,11,147,16708166.73000000000000
PULSAR,2026,4,295,34134636.20000000000000
PULSAR,2024,9,293,32368997.40000000000000
PULSAR,2025,6,387,43279136.60000000000000
OLA,2025,3,-3,-479997.00000000000000
OLA,2024,11,147,18006353.00000000000000
OLA,2025,1,31,3899969.00000000000000
OLA,2025,5,-2,-214998.00000000000000
PULSAR,2026,3,369,42884673.42000000000000
PULSAR,2025,7,530,62070421.50000000000000
OLA,2025,8,13,1533188.00000000000000
OLA,2024,10,775,94502225.00000000000000
PULSAR,2024,11,156,18681431.71000000000000
PULSAR,2024,12,95,11931358.95000000000000
OLA,2025,2,3,262497.00000000000000
OLA,2024,12,6,731994.00000000000000
OLA,2025,10,-2,-376400.00000000000000
